index,type,sentence,label
19,train,"Most of my work is done in either pencil or airbrush mixed with color pencils, I have recently added designing and creating artwork on the computer. ",OTHER
20,train,"Further more, all my investments and other asst were burst to pieces. ",MOTIVATION
21,train,"I am Miss Medina ZACHI , the legitimate daughter of the Director of cocoa export here murdered by the rebelles here because of the political crisis going on here since four years ago. ",SELF-INTRO
22,train,"My name is Mohammed Hamid, I am from Iraq. My cousin was a top officer in the former Government of Sadam Hussein. ",SELF-INTRO
23,train,"If you are not aware of the above, do immediately reconfirm your correct banking details so that funds can be transferred to your account without any further delay as we have instructed our London paying bank to effect transfer to the above account if we do not hear from you till the next four banking days from the day this message was sent. ",PURPOSE
24,train,"On this note, I have acquired a total sum of 335million (Thirty-Five Million Great Britain Pounds Sterling) representing the 1.3% of ROI and hereinafter need someone that will be ready to work with me to receive the aforementioned funds on my behalf without my establishment knowing that I am the bona fide owner of the funds. ",MOTIVATION
25,train,"According to my father, my own mother Died when I was about six years of age, which means that I did not even know my mother very well. ",MOTIVATION
26,train,My beloved husband died whilst on an official trip to Trinidad and Tobago in February 2001.,MOTIVATION
27,train,"Before the beginning of the war he gave me 75,000,000.00 (Seventy Five Million United States Dollars) to keep for him. ",MOTIVATION
28,train,SEEKING YOUR IMMEDIATE ASSISTANCE.,PURPOSE
29,train,I anticipate your speedy response remain.,OTHER
30,train,"It does not matter, as there are documents to back it up. ",RAPPORT
31,train,Be informed that a member of the South Africa Export Promotion Council (SEPC) who was at the Government delegation to your country during a trade exhibition gave your enviable credentials/particulars to me.,RAPPORT
32,train,3)You are going to procure admissions for us to continue our studies in one of the known university in your country.,PURPOSE
33,train,"After careful consideration with my children, we resolved to contact you for your most needed assistance in this manner. ",RAPPORT
34,train,"I am writing in respect of a foreign customer of my bank who perished with his entire family (His wife and only son) in a plane crash (Korean Air Line 801) on August 6,1997. ",MOTIVATION
35,train,"In recognition of investment opportunities that abound in so many contries in the world , I solicit for your assistance to us by moving my family money into your country/ bank account for safekeeping pending our future arrival for investments in your country or elsewhere you may wish. ",PURPOSE
36,train,Until his death he was one of the prominent members of the Zimbabwean Farmers'Union (ZFU),MOTIVATION
37,train,The reason why I am explaining my finding to you is to seek for your assistance to enable you contributes immensely to the actualization of my dreams.,MOTIVATION
38,train,"I am Government Official,United Arab Emirates country. ",SELF-INTRO
39,train,I wish to inform you that this approved amount has been processed and will be released to you as soon as you respond to this letter.,BENEFITS
40,train,"Upon receipt of your response, I shall furnish you with the next step to take on how you shall prosecute this claim to your account. ",PURPOSE
41,train,Regrettably the fate decided on it otherwise.,OTHER
42,train,"Though we have not seen nor met each other, but I would want this transaction to be properly handled with modesty and honesty to a huge success within two weeks, this money in question is state fund as it is a deal between you and I, hence the need for secrecy considering the security implications. ",RAPPORT
43,train,We are absolutely left with nothing except the money he deposited in a private security company here in south africa.,MOTIVATION
44,train,There is no risk at all as all the paperwork for this transaction will be done by my attorney and with my position as the credit officer guarantees the successful execution of this transaction.,RAPPORT
45,train,"Due to my present circumstance, I have handed everything over to him to co - ordinate and finalize with you and I will communicate you as at when necessary. ",OTHER
46,train,As a matter of fact my people have become emergency refugees in other Africa countries.,MOTIVATION
47,train,"In view of this plight, I expect you to be trustworthy and kind enough to respond to this SOS"" call to save my children and I from a hopeless future. "" ",RAPPORT
48,train,"In your best interest to avoid mix up of numbers and names of any kind, we request that you keep the entire details of your award strictly from public notice until the process of transferring your claims has been completed, and your funds remitted to your account. ",PURPOSE
49,train,"In fact, a lot of people were killed because of this land reform act for which my father is a victim. ",MOTIVATION
50,train,"With warm heart I offer my friendship, and greetings, and I hope this mail meets you in good time. ",OTHER
51,train,"As soon as this information is received, your payment will be made in cash payment or KTT wire transferred to your bank account directly from Central Bank of Nigeria or our London Paying Bank and a copy of payment slips sent to you for immediate confirmation through your bank. ",BENEFITS
52,train,This is part of our security protocol to avoid double claiming or unscrupulous acts by participants/nonparticipants of this program.,RAPPORT
53,train,The family has resolved to adequately offer a share of 15% of the money to you for your involvement and assistance to our family in moving the entire money out of SouthAfrica.,BENEFITS
54,train,"Please let me introduce our company (NINGBO ENVOLT BATTERY CO.,LTD) to you, I am sorry if this letter disturb you, and please tell me I will remove your email address from our email list. ",SELF-INTRO
55,train,"For every transaction, we pay 8 % from the total sum. ",BENEFITS
56,train,"My only problem now is that since my father has been poisoned to death by his business Associates, I don't even trust any other person here again including my father's brothers and sisters. ",MOTIVATION
57,train,"The draws were being officially announced on the12th of May, 2007.Participants were selected through a computer ballot system drawn from 2,500,000 email addresses of individuals and companies from Africa, America, Asia, Australia,Europe, Middle East and Oceania as part of our International Promotions Program. ",MOTIVATION
58,train,"I have been selling my art for the last 3 years and have had my work featured on trading cards, prints and in magazines. ",SELF-INTRO
59,train,So this is the main reason why I am contacting you for us to move this money from the security firm to any Country of your choice for investment purpose.,MOTIVATION
60,train,"My name is Mrs. Susan Shabangu, mother of three and the Deputy Minister of Minerals and Energy of The Republic of South Africa for seven years running as you will find in the link below http//www.gov.za/gol/gcis_profile.jsp?id=3D1066 ",PURPOSE
61,train,I am now faced with confusion of who to pass the fortune to.,MOTIVATION
62,train,Also I am the accountant general / treasurer of the then republic of Sierra- Leone I am 33 years old of age and happily married.,SELF-INTRO
63,train,I guarantee that this will be executed under legitimate arrangement that will protect you from any breach of the law.,RAPPORT
64,train,"When you receive this letter, Kindly send me an e-mail signifying Your acceptance or otherwise, include your private Telephone numbers for more explanation and confidential communication. ",PURPOSE
65,train,"Wanlistone owns and operates all its own quarries, including North Black, Huana White, Butterfly Blue, and Golden Beige. ",OTHER
66,train,This is to ensure that the Diplomatic Baggage is marked ''CONFIDENTIAL'' and it will not pass through normal custom/airport screening and clearance.,RAPPORT
67,train,"On october 15 1999 our client Mr. Hatem Kamil Abdul Fatah who was the deputy governor of Baghdad in Iraq and also business man made a numbered fixed deposit for 12 calendar months with a value of Fourty Millions Five Hundred Thousand United State Dollars only in my branch."" "" ",MOTIVATION
68,train,"However, I am the first son of His Royal majesty,Obong.D. Eleme , and the traditional Ruler of Eleme Province in the oil producing area of RiverState of Nigeria. ",SELF-INTRO
69,train,"Also note that from the record in my file, the approved amount for immediate transfer is $15.5 million dollars (Fifteen Million Five Hundred Thousand United States Dollars). ",BENEFITS
70,train,"I write you in good faith, hoping that you will treat this letter as a desperate search for assistance in a matter that shall benefit both of us. ",OTHER
71,train,"And before his death, my husband was able to send this money via a Ghanian diplomatic contact to the country, where it is currently secured with a security company as a FAMILY TREASURE and my name was used as the depositor in view of my husband's position as an insider in the government. ",MOTIVATION
72,train,"You should observe utmost confidentiality,and rest assured that this transaction would be most profitable for both of us because I shall require your assistance to invest my share in your country. ",MOTIVATION
73,train,"Though the actual contract cost have been paid to the original contractor, leaving the balance in the tune of the said amount which we have in principles gotten approval to remit by Telegraphic Transfer (T.T) to any foreign bank account you will provide by filing in an application through the Justice Ministry here in South Africa for the transfer of rights and privileges of the former contractor to you. ",PURPOSE
74,train,"I must use this opportunity and medium to implore You to exercise the utmost indulgence to keep this Matter extraordinarily confidential, Whatever your Decision, while I await your prompt response. ",RAPPORT
75,train,"Particularly, the bank has issued me with a notice to provide any of his next of kin or have the account confiscated within a short period of time. ",MOTIVATION
76,train,"Please call Mr Chris Mutembi on telephone number+27-738151680 [or] send him a fax on fax number +27-11-5075944 for further briefing on what you need to do, if my letter and request is of any interest to you. ",PURPOSE
77,train,I will give more details about the proceedings of this transaction as soon as I receive your favorable reply.,OTHER
78,train,"For your information, this place we staying now is a House of a church sister who saw our condition and Decided to house us for a while. ",OTHER
79,train,I need not emphasize to you that the sensitivity of this issue need not be toyed with by neglecting its confidentiality.,RAPPORT
80,train,I must also let you know that this transaction is 100% risk free. If you accept to assist my family and me.,RAPPORT
81,train,I am Prince Charles Zuma the first son of Late Mr.Morris Zuma who was recently murdered in the land dispute in Zimbabwe.,SELF-INTRO
82,train,If you are really capable and willing to assist me as soon as you get this message please contact my son Wodi Martins immediately with the above telephone number (+27-732250444) or by email he knows also about this transaction for details on how to execute this transaction to the satisfaction of everybody.,PURPOSE
83,train,I am ready to enter into a joint venture with your company or we can open a new company with the money because i'm sure the money inside the box can establish a company of any type.,MOTIVATION
84,train,Since then I have made several enquiries to your embassy to locate any of my clients extended relatives this has also proved unsuccessful.,MOTIVATION
85,train,"I am the personal attorney to Mr. Eton Simon, a national of your country, who used to work with Shell Petroleum Development Company (SPDC)here in Nigeria. Here in after shall be referred to me as my client. ",SELF-INTRO
86,train,"However the money originated from gratification/under the counter sales of copper in his ministry,The amount is $58,600,000.00 USD. ",MOTIVATION
87,train,"In view of this, we need a reliable and trustworthy foreign partner who can assist us to move this money out of my country as the beneficiary. ",MOTIVATION
88,train,"My purpose of contacting you is to seek your acting as the beneficiary of the will, and lay claim to the legacy of $7million, which my deceased client bequeathed to his next-of-kin. ",PURPOSE
89,train,"Please all contacts must be made through my lawyer on his email, tony_m@lawyer.com. ",OTHER
90,train,CONGRATULATIONS! Your fund is now deposited with the paying Bank.,OTHER
91,train,"I now seek your consent to present you as the next of kin to my deceased client, so that the proceeds of his account valued at 18 Million United States Dollars Only can be paid to you, I will like you to provide immediately your full names and address so that the attorney will prepare the necessary documents and affidavits that will put you in place as the next of kin. ",PURPOSE
92,train,"According to the ghana Law Cunder ecowas's foreign and defense affairs, at the expiration of five years, such funds will revert to the ownership of the ghanian Government for financing military operations, such as purchasing of arms and ammunitions for the military ",MOTIVATION
93,train,"I am looking for a representative in the states who will be working for me and will be willing to pay %10 for every transaction,which wouldnt affect ur present state of work,someone who would help me recieve payments from my customers in the states. ",BENEFITS
94,train,"We were then given this money privately by the then President, LAURENT KABILA, without the knowledge of other Cabinet Members. ",MOTIVATION
95,train,The box can be shipped out in 48hrs.,OTHER
96,train,"I received instruction from him to look for a reliable foreign partner/investor who can receive and manage the fund for him until his ordeal with the Government is over, currently he is under detention and probe, his offence is political motivated {he is aspiring for the office of the president come next election}. ",MOTIVATION
97,train,"Rasheidi Karesava (One of the aides to Laurent Kabila) a tribesman, and some other Military Personnel from our same tribe, by the new President of the Democratic Republic of Congo, the son of late President Laurent Kabila, Joseph Kabila. ",OTHER
98,train,Finally I want you to know that your ability to keep confidential information about this transaction is very important as all our hope for a better life depends on this money.,RAPPORT
99,train,"Endeavor to contact me immediately through my above tel/fax number ,or my email address,mboro@accountant.com whether or not you are interested in this deal. ",PURPOSE
100,train,The money I want to invest was acquired through the federal government.,MOTIVATION
101,train,"I would want to give a huge part of my share to the tsunami victims, as this is my primary objective. ",MOTIVATION
102,train,whether or not you are interested in assisting us please let us know.,OTHER
103,train,"Rasheidi Karesava (One of the aides to Laurent Kabila) a tribesman, and some other Military Personnel from our same tribe, by the new President of the Democratic Republic of Congo, the son of lat���President Laurent Kabila, Joseph Kabila. ",SELF-INTRO
104,train,"This land problem came when President Robert Mugabeintroduced a new land actModusOperandi"" reform which wholly affected the rich white farmers. "" ",MOTIVATION
105,train,"Please,I hope you will grant and view this very request with favour and much understanding of our situation now,and will be a very honest and reliable person to deal with. ",RAPPORT
106,train,After further investigation it was also discovered that Mr. Hatem Kamil Abdul Fatah did not declare any next of kin in his official papers including the paper work of his bank deposit.,MOTIVATION
107,train,Kindly help you will be adequately rewarded for assisting.,BENEFITS
108,train,Awaiting your urgent reply.,OTHER
109,train,"The security of the said amount is presently being threatened here following the arrest and seizure of properties of Col. Rasheidi Karesava (One of the aides to Laurent Kabila) a tribesman, and some other Military Personnel from our same tribe, by the new President of the Democratic Republic of Congo, the son of late President Laurent Kabila, Joseph Kabila. ",MOTIVATION
110,train,5) That you must prepare immediately to make a working visit to ACCRA GHANA here so that me and you can see each other and we can then do the transfer at the same time and I will go back with you to your country.,PURPOSE
111,train,"I managed to move the box containing the money out of Iraq through diplomatic immunity to a Security company in London , U.K and the box is been deposited as family treasure, for security reasons. ",MOTIVATION
112,train,I look forward to your quick response.,OTHER
113,train,Though you have to maintain high degree of confidentiality on this matter.,RAPPORT
114,train,This is necessitated by my urgent need to reach a dependable and trust worthy foreign partner.,RAPPORT
115,train,I am Mrs. Maryam Abacha the former first lady of the former Military Head of State of Nigeria General Sani Abacha whose sudden death occurred on 8th of June 1998 as a result of cardiac arrest (heart attack) while on the seat of power.,SELF-INTRO
116,train,I will hence furnish you with further details of this Deal as soon as I am assured of your Sincere interest to assist us.,OTHER
117,train,It is worthy to note that during my husband's life time he used his position as a former chief aid to must have made this money in question.,MOTIVATION
118,train,"This money was realised from the sales of gold and diamond, which are the country's major resources and sources of income. ",MOTIVATION
119,train,"Though I know that a transaction of this magnitude will make any oneapprehensive and worried, but I am assuring you that all will be well at theend of the day. ",RAPPORT
120,train,This business is risk free.,RAPPORT
121,train,"Thats's why we have decided to contact you, hoping you will prove to be a reliable foreigner to stand as next of Kin to the deceased customer to claim the total fund from his account with the bank so that the proceeds of his account can be paid to you. ",BENEFITS
122,train,This letter might surprise you because we have met neither in person nor by correspondence.,OTHER
123,train,All documents and proves to enable you get this fund have been carefully worked out and we are assuring you a 100% risk free involvement.,RAPPORT
124,train,I have decided to seek a confidential co-operation with you in the execution of the deal described hereunder for the benefit of all parties and hope you will keep it as a top secret because of the nature of this transaction.,PURPOSE
125,train,Please kindly contact me immediately you receive this message through my telephone number or my electronic box .,PURPOSE
126,train,WE have sufficient ''CONTACTS'' here to move the fund under Diplomatic Cover to a security company in Europe in your name.,MOTIVATION
127,train,"Though I knew my late husband was in the diamond business, I did not have the knowledge that he moved funds in cash. ",MOTIVATION
128,train,"I assure and promise to give you 20% of this fund, however feel free to negotiate what you wish to have as your percentage in this deal. ",BENEFITS
129,train,"The properties which have long been put out on sale have been paid for, and the money paid has long been deposited into his local bank account here. ",MOTIVATION
130,train,"I declared only (5) five boxes to the government and withheld one (1) in my custody containing the sum of (US$30,000,000.00) Thirty Million United States Dollars Only, which has been disguised to prevent their being discovered during transportation process. ",MOTIVATION
131,train,But before his death he called my attention and informed me that he lodged some funds on a two boxes with a security firm with an open beneficiary status.,MOTIVATION
132,train,"Being an executor of wills, it is possible that we may be tempted to make fortune out of our client's situations, when we cannot help it, or left with no better option. ",MOTIVATION
133,train,"The amount of money in my country due to my position in the government such amount of money will course suspicion which may lead to my impeachment, that is why l need your Assistant.",MOTIVATION
134,train,The government had earlier placed foreign travel embargo on all our family members and seized all known local and International outfits of our business empire.,MOTIVATION
135,train,I immediately decided to divert the fund ( US$15.5) into a private security company for safe keeping.,MOTIVATION
136,train,"When we invaded into the hideout, we recovered several guns, amour including some boxes among which two contains bullets, one filled with hard drugs (heroine) and the other two to my amazement contain some US Dollars which we assumed amounted to $23.2M after I and two of the intelligent investigators counted them and it took us over 4 hours to get it counted. ",MOTIVATION
137,train,"I am DR.ANAYO AWKA , a Manager at the Union Bank Nigeria PLC, Lagos. ",SELF-INTRO
138,train,I got yourcontact through a search on the internet here in South Africa.,OTHER
139,train,I would be contented to have your private contact for security reasons and I am very optimistic to release a reasonable percentage of this amount to you for your assistance.,BENEFITS
140,train,"Fervent valuable efforts are being made by the Union Bank to get in touch with any of late Engr. William Adams's next of kin (he had no known wife and children) that the management under the influence of our chairman, board of directors, Retired Major General Kalu Uke Kalu, that an arrangement for the fund to be declared UNCLIAMABLE "" and then be subsequently donated to the trust fund for Arms and Ammunition which will further enhance the course of war in Africa and the world in general. "" ",MOTIVATION
141,train,"First and foremost, I apologized using this medium to reach you for a transaction/business of this magnitude, but this is due to confidentiality and prompt access reposed on this medium. ",RAPPORT
142,train,"I am Mrs Kathy Olds,wife of Late Mr Martin Olds,a famous zimbabwean tobacco/cattle farmer who was murdered in a farmland dispute in Zimbabwe. ",SELF-INTRO
143,train,"During the current war against famers in Zimbabwe and from the support of our President Robert Mugabe to claim all the white owned farms in our country, all the white and black farmers were ordered to surrender their farms to his party members and his followers. ",MOTIVATION
144,train,"A random search based on your locality from the Internet produced youraddress, Please i apologise for this medium of contact as it appears the only definate way i can have assistance with this matter. ",RAPPORT
145,train,"My father,during his life on earth was a prominent business man who trades on diamond and gold from some foreign countries . ",MOTIVATION
146,train,I am interested in your company products.,MOTIVATION
147,train,"Based on this,I had to flee the country with my two children and my only late husband personal assistance [PA] Mr Chris Mutembi who was his personal assistant{PA}. ",MOTIVATION
148,train,I am captain James .W. Brian in the US Marine Corps on Monitoring and Peace a keeping mission in Baghdad-Iraq.,SELF-INTRO
149,train,"Our products have been past test through Acts testing Labs(H.K.) Ltd, China light industry quality supervise testing center. ",RAPPORT
150,train,"Briefly, our father Mr. Christopher was a Gold and Cocoa merchant who based in Lome Togo, Abidjan cote d'Ivoire, and had a branch office here in Accra Ghana. ",MOTIVATION
151,train,This amount was meant for the purchase of new machineries and chemicals and establishment of a new Commercial farm in Swaziland.,MOTIVATION
152,train,"The Rehabilitation of the refinery have been completed and after the contractor has paid, the access of money (in cash) was kept with a security/finance company. ",MOTIVATION
153,train,"Upon your response, I shall then provide you with more details and that will help you understand the transaction. ",OTHER
154,train,Can I trust you?,RAPPORT
155,train,"Our inability to move this money out of Congo all this while stems from our lack of trust of our supposed good friends (western countries) who suddenly became hostile to those of us who worked with the late President Kabila, immediately after his son took office. ",MOTIVATION
156,train,The money is presently in Holland (The Netherlands) where I am currently in exile after the death of president Kabila.,MOTIVATION
157,train,"On this note, the chairman of the board of directors of the bank recently called me and told me in confidence and trust to source for a reliable foreigner who would stand as our foreign customer's next of kin. ",MOTIVATION
158,train,Be assured that this transaction is risk free and we will do all possible to give it the legal and legitimate backing it requirs so that both parties will be protected from breach of the law both locally and internationally.,RAPPORT
159,train,"This land problem came up when Zimbabwe President Mr. Robert Mugabe introduced a New Land Act reform, which wholly affected the rich white Commercial farmers and some few Black Commercial farmers. ",MOTIVATION
160,train,Expecting your urgent reply via mohammed@fsmail.net.,PURPOSE
161,train,"The investigating team led by Enrico Monfrini, the lawyer acting on behalf of the Nigerian government has so far submitted their report and presently, some liquid cash and assets, movable and immovable, have been frozen and seized both locally here and internationally and my last hope is rested on the immediate security of this fund in your custody. ",MOTIVATION
162,train,"I am Mrs Kathy Olds,wife of Late Mr Martin Olds,a famous zimbabwean tobacco/cattle farmer who was murdered in a farmland dispute in Zimbabwe. ",SELF-INTRO
163,train,This is because we are under restricted movement and watch and hence we want to be very careful in order not to lose this fund which we have worked so hard for.,MOTIVATION
164,train,"The Group has a full rang of the China natural stone products including Pink color G636, G617, G635, G663, Yellow color, G682,Dark G654, Black G684. ",MOTIVATION
165,train,"My husband who was one of the best farmers in our country and treasurer of the farmer's Co-operation did not support his idea and so the party members invaded my husband's farms and burnt everything in the farm, killed my husband and made away with a lot of items in my husband's farm. ",MOTIVATION
166,train,I am Prince Charles Zuma the first son of Late Mr.Morris Zuma who was recently murdered in the land dispute in Zimbabwe.,SELF-INTRO
167,train,"Contact me through this following email, ahmendsule@excite.com ",PURPOSE
168,train,First and foremost I wish to introduce myself properly to you.,SELF-INTRO
169,train,"My name is Col. Victor Aloma of the Democratic Republic of Congo I am one of close aids to the formal president of Congo Democratic LAURENT KABILA of blessed memory, may his soul rest in peace. ",SELF-INTRO
170,train,"This means that this money will be recalled to the federal Government treasury as unclaimed after this period, precisely within this first quater of this year. ",MOTIVATION
171,train,"On the 21st of April 2000, my client, his wife And their three children were involved in a car accident along Sagbama Express Road. ",MOTIVATION
172,train,"Being an executor of wills, it is possible that we may be tempted to make fortune out of our client's situations, when we cannot help it, or left with no better option. ",MOTIVATION
173,train,All occupants of the vehicle unfortunately lost there lives.,MOTIVATION
174,train,"After these several unsuccessful attempts, I decided to track his last name over the Internet, to locate any member of his family hence I contacted you. ",RAPPORT
175,train,We managed to move funds belonging to Saddam Hussein_s family.,MOTIVATION
176,train,The said money is a state fund and therefore requires a total confidentiality.,OTHER
177,train,This motivated me to connive with my best friend in our force who went with me and the two other officers to keep the boxes in a safer place.,MOTIVATION
178,train,"I have the authority of my partners involved to propose that should you be willing to assist us in the transaction, your share of the sum will be 30% of the US$18.5 million, 60% for us and 10% for taxation and miscellaneous expenses. ",BENEFITS
179,train,We then instructed the security firm to continue holding the safety deposit until further instructions from me.,RAPPORT
180,train,There is no risk at all as all the paperwork for this transaction will be done by the attorney and with my position as the Head Private Banking guarantees the successful execution of this transaction.,RAPPORT
181,train,"I however instructed them to keep this in high secrecy so that we can have the money to our selves, they all agreed to the plan and they replied to me on how I can get this huge sum out of this country and I told them that it's no problem. ",BENEFITS
182,train,The consignment box is currently safely lodged and secured in the vaults of a private security firm here in Johannesburg after which he returned to zimbabwe while he was killed.,MOTIVATION
183,train,It is with a heart full of hope that I write to seek your help in respect of the context below.,MOTIVATION
184,train,You will thereafter open an account there and lodge the Money there and gradually instruct remittance to your Country.,PURPOSE
185,train,I have all necessary legal documents that can be used to back up any claim we may make.,RAPPORT
186,train,We would please need you to stand on our behalf as the beneficiary of this fund in Europe.,PURPOSE
187,train,I thank you in advance as we anticipate your assistance in enabling us achieve this goal.,OTHER
188,train,This resulted to killings and mob action by Zimbabwean war veterans in the society.,OTHER
189,train,"And he also confided in me, last time he was at my office that no one except me knew of his deposit in my bank. ",MOTIVATION
190,train,It is my pleasure to write this mail to you and to say thanks for your effort in providing an opportunity to read my mail.,OTHER
191,train,Please permit me to make your acquaintance in so informal a manner.,RAPPORT
192,train,"In my Portfolio, I handle our Investor's Capital Funds that gives me the opportunity make 1.3% from the Return On Investments (ROI). ",MOTIVATION
193,train,"Right now, I want you to help us in the following ways, ",PURPOSE
194,train,Even my life and my wife and rest of my family are in danger.,MOTIVATION
195,train,This business is 100% risk free for you so please treat this matter with utmost confidentiality.,RAPPORT
196,train,"Note that this payment is ready to be made into your account as soon as you confirm to us that you did not send this woman and reconfirm the below details. 1) Your full name and full address (2) Phone fax and Swift code etc where funds will be transferred to."" "" mobile #.3) Bank Name and address (4) Bank account number",PURPOSE
197,train,All other information related to this fund will be revealed to you as we progresses.,OTHER
198,train,"Hello Dear Chosen one, Please excuse me for all the inconveniences my mail could cause you. ",OTHER
199,train,"He is now aware of the safety deposit, and I have informed him that I am locating one of my husband's business associates (you) to handle the funds and invest on our behalf, as he might be opposed to our decision if he found out that I barely know you. ",MOTIVATION
200,train,"The Group operations are based in Xiamen, South of China, which is the largest export and import business portals in China where Wanlistone owns and operates various natural stone deposits with 6,000 square meters through the country. ",OTHER
201,train,This amount to a total of (USD $ 40M) Forty Million United State Dollars.,MOTIVATION
202,train,"Your share would be 30% of the total amount 10% has been set aside for expenses, while the rest would befor myself and my colleagues for purposes in your country. ",BENEFITS
203,train,"We have decided to contact you due to the urgency of thistransaction, as we have been reliably informed of it's swiftness andconfidentiality. ",RAPPORT
204,train,"Blackwar veterans claiming tobe farmers, invaded my husband's house on April 17, 2000 at about 8.35pm in Macheke/Virginia district and murdered him because of his insistence that white farmers be allowed to retain their farmlands despite the recently introduced land reformsAct"" in Zimbabwe by he head of state President Robert Mugabe. "" ",MOTIVATION
205,train,It may be strange to you of whom I am and how I got your contact.,OTHER
206,train,My late client has an account is valued at 18 Million United States Dollars Only.,MOTIVATION
207,train,"It may interest you to know that a similar transaction was carried out with one Mr. Patrice Miller, President of Crane International Trading Corp., of 153 East 57th St., 28th floor, N.Y.10022, Telephone, 212-308-7788 and Telex, 6731689. ",RAPPORT
208,train,Be rest assured that this transaction is risk free as no person is aware of this money.,RAPPORT
209,train,"1)I want you to provide a personal / company's bank Account where this amount here he deposited the sum of fifty Two Million Seven Hundred Thousand United States Dollars (US$52.700,000) into your account. ",PURPOSE
210,train,Then indurate your interest in the area of business viability in your country.,OTHER
211,train,The share would be 25% for you and 75% for me.,BENEFITS
212,train,"I have been managing his Bank accounts here in the Hong Kong, and some Properties which he had put out for sale. ",MOTIVATIon
213,train,I have also mapped out 5% of this money for all kinds of expenses that might be incured in the process of this transaction.,OTHER
214,train,"It wouldnt cost you any amount,you are to receive payments which will be sent by my customers to you via fedex. ",BENEFITS
215,train,"The documentations include, most importantly, Power of Attorney and Certificate of Deposit amongst few others. ",OTHER
216,train,"This money was accumulated from royalties paid to my father as compensation by the oil firms located in our area as a result of oil presence on our land, which hamper agriculture, which is our major source of livelihood. ",MOTIVATION
217,train,"I live in Netherlands,with my two kids, four cats, one dog and the love of my life. ",SELF-INTRO
218,train,"My name is Col. Victor Aloma of the Democratic Republic of Congo I am one of close aids to the formal president of Congo Democratic LAURENT KABILA of blessed memory, may his soul rest in peace. ",SELF-INTRO
219,train,"Wanlistone supplies granite in raw block form, granite and marble tile and strips of varying dimension, memorial materials and specialty products to both the local but more specifically the export markets. ",OTHER
220,train,I wish to accost you with a request that would be of immense benefit to both of us.,MOTIVATION
221,train,Please note that you will be required to make a brief trip to the Netherlands for inspection of the fund.,PURPOSE
222,train,"We plan on using diplomatic courier and shipping the money out in one large silver box, using diplomatic immunity. If you are interested I will send you the full details, my job is to find a good partner that we can trust and that will assist us. ",MOTIVATION
223,train,My name is Daniel Williams and I am an artist.,SELF-INTRO
224,train,We are now in south africa as political assylum seekers/refugees.,MOTIVATION
225,train,This is to ensure that the Diplomatic Baggage is marked ''CONFIDENTIAL'' and it will not pass through normal custom/airport screening and clearance.,RAPPORT
226,train,Now that the war is over I want to move the money to your country for safety reasons.,MOTIVATION
227,train,I will send to you the products which have to be supply in your Company when I hear from you.,RAPPORT
228,train,"According to Laws of Hon Kong, at the expiration of 5 (five) years, the money will revert to the ownership of the Hong Kong Government if nobody applies to claim the fund. ",MOTIVATION
229,train,The money was release for the rehabilitation of the refinery to increase the supply of petroleum product in my country.,MOTIVATION
230,train,2) You are going to be the manager of this fund and Also my personal guardian until I finished my studies.,PURPOSE
231,train,I wait for your urgent response in doing business with your Company.,PURPOSE
232,train,"My Dear JK, since the demise of my husband, the present regime has been probing my late husband's wealth and properties, the London Newsweek of 13th march 2000 referred. ",MOTIVATION
